"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","cellType"
"Cell174",8778,14523,21086,1474,14676,1382,"Batch1"
"Cell175",8639,14455,22525,1935,19297,1689,"Batch1"
"Cell176",8633,12783,21700,1409,11325,1316,"Batch1"
"Cell177",7243,11112,14404,895,11231,802,"Batch1"
"Cell178",10776,19484,27357,1799,19899,1847,"Batch1"
"Cell179",9130,13203,22143,1756,11924,1571,"Batch1"
"Cell180",6759,12247,17530,1208,12776,1028,"Batch1"
"Cell181",6602,14012,18183,1121,11438,1098,"Batch1"
"Cell182",5827,9328,13002,1338,9021,974,"Batch1"
"Cell183",9222,18722,29029,1586,14945,1701,"Batch1"
"Cell184",5876,9681,15692,673,10965,880,"Batch1"
"Cell185",9400,18083,21214,1383,14052,1323,"Batch1"
"Cell186",11369,18886,23880,1319,17254,1296,"Batch1"
"Cell187",13619,26463,36974,2437,28811,2258,"Batch1"
"Cell188",5375,10915,13003,1027,10029,849,"Batch1"
"Cell189",6932,11796,18943,1002,10386,922,"Batch1"
"Cell190",7184,12419,20925,1096,13472,923,"Batch1"
"Cell191",10688,17317,24041,1467,16932,1656,"Batch1"
"Cell192",9408,13503,18750,1491,12956,1578,"Batch1"
"Cell193",5245,7490,14156,795,8862,667,"Batch1"
"Cell194",9048,12502,23522,1746,17686,1332,"Batch1"
"Cell195",11889,16116,20445,1462,15508,1407,"Batch1"
"Cell196",8136,13701,13637,1210,14158,1084,"Batch1"
"Cell197",8472,13556,20461,1234,15353,1156,"Batch1"
"Cell198",6560,14755,17043,976,9302,1071,"Batch1"
"Cell199",10900,14311,20023,1248,16596,1241,"Batch1"
"Cell200",6616,8699,12724,1048,9227,1007,"Batch1"
"Cell201",5106,10449,17079,987,10161,814,"Batch1"
"Cell202",10653,15581,18357,1531,15804,1189,"Batch1"
"Cell203",5331,10132,16572,1025,12690,698,"Batch1"
"Cell204",10206,13843,22996,1537,17050,1290,"Batch1"
"Cell205",7920,13778,21768,1169,15309,1517,"Batch1"
"Cell206",9976,17583,17725,1480,15454,1533,"Batch1"
"Cell207",9808,13882,14711,1272,14599,1284,"Batch1"
"Cell208",6359,12622,16463,1321,13099,917,"Batch1"
"Cell209",14698,23690,27095,1513,22965,2007,"Batch1"
"Cell210",7677,15306,13934,1170,11364,1118,"Batch1"
"Cell211",7680,13354,18239,1677,10667,1518,"Batch1"
"Cell212",9053,12982,18657,1433,15581,1240,"Batch1"
"Cell213",9252,16907,21424,1487,15104,1541,"Batch1"
"Cell214",7257,12522,17959,1275,8675,1230,"Batch1"
"Cell215",7993,11675,19724,1121,11403,1438,"Batch1"
"Cell216",8163,20821,20851,1560,15998,1225,"Batch1"
"Cell217",11582,20255,22081,1089,15494,1739,"Batch1"
"Cell218",7556,11571,20786,1233,16054,1586,"Batch1"
"Cell219",5644,9141,14211,1112,9226,880,"Batch1"
"Cell220",11193,14869,20327,1457,16496,1397,"Batch1"
"Cell221",7860,13993,20215,1099,13287,1411,"Batch1"
"Cell222",7475,12666,18626,1256,12049,1218,"Batch1"
"Cell223",7095,10315,11303,1301,12335,1013,"Batch1"
"Cell224",11040,15954,23882,1849,16377,1695,"Batch1"
"Cell225",8752,17194,19489,1416,16104,1339,"Batch1"
"Cell226",9031,11011,22092,1698,10613,1299,"Batch1"
"Cell227",9295,15047,26098,1369,12560,1686,"Batch1"
"Cell228",6454,10463,17398,1290,11577,978,"Batch1"
"Cell229",10775,18212,19280,1449,18737,1768,"Batch1"
"Cell230",10856,20495,25327,1399,19269,1494,"Batch1"
"Cell231",10464,20385,27408,1853,20186,1708,"Batch1"
"Cell232",6929,11086,12652,975,9444,1297,"Batch1"
"Cell233",11035,18472,19230,1534,18332,1617,"Batch1"
"Cell234",11916,23897,30731,1698,21509,2057,"Batch1"
"Cell235",9066,13893,15296,1426,13922,1337,"Batch1"
"Cell236",7646,13518,15098,968,10936,1098,"Batch1"
"Cell237",12029,24598,34425,2338,19541,2210,"Batch1"
"Cell238",8201,14169,19482,1283,18511,1274,"Batch1"
"Cell239",9118,13062,21506,1589,17159,1255,"Batch1"
"Cell240",5802,10957,17775,1134,9476,1109,"Batch1"
"Cell241",7494,15499,13913,1206,12788,994,"Batch1"
"Cell242",10054,14911,19443,1658,14073,1582,"Batch1"
"Cell243",12165,18976,20802,1737,15571,1517,"Batch1"
"Cell244",8292,16733,18437,1310,15934,1764,"Batch1"
"Cell245",12108,18611,26553,1379,18464,2000,"Batch1"
"Cell246",9082,13303,20448,1974,13634,1469,"Batch1"
"Cell247",14477,22104,31203,2364,17038,1416,"Batch1"
"Cell248",6190,9125,11469,1153,10446,864,"Batch1"
"Cell249",9335,16475,20330,1267,15584,1293,"Batch1"
"Cell250",6904,8723,16552,1048,11567,879,"Batch1"
"Cell251",7909,14577,25338,1296,17178,1826,"Batch1"
"Cell252",7653,14216,27165,1235,11410,1424,"Batch1"
"Cell253",5741,10796,14087,1112,9822,986,"Batch1"
"Cell254",10734,22687,25122,1345,16782,1812,"Batch1"
"Cell255",12929,19282,29046,1729,20435,1457,"Batch1"
"Cell256",7196,10202,16598,840,11037,823,"Batch1"
"Cell257",8139,16140,22424,1586,15208,1506,"Batch1"
"Cell258",10799,17753,24547,1611,17917,1763,"Batch1"
"Cell259",7859,12256,19951,1076,11896,1343,"Batch1"
"Cell260",7587,10370,17750,1116,12381,1082,"Batch1"
"Cell261",9251,19342,15998,1289,18283,1207,"Batch1"
"Cell262",7549,14604,18305,1478,15657,1301,"Batch1"
"Cell263",8826,13343,22491,1329,15551,1466,"Batch1"
"Cell264",9373,16272,22961,1401,14369,1462,"Batch1"
"Cell265",6424,11005,15586,964,11726,1164,"Batch1"
"Cell266",9336,13053,23298,1684,16484,2089,"Batch1"
"Cell267",7934,11234,16473,1247,13219,1472,"Batch1"
"Cell268",8813,14569,16093,1571,13035,1361,"Batch1"
"Cell269",8928,13149,19847,1435,15532,1458,"Batch1"
"Cell270",7565,10167,16760,1041,10491,1012,"Batch1"
"Cell271",10427,17786,23733,1882,23757,1760,"Batch1"
"Cell272",10173,17108,19788,1539,14220,1526,"Batch1"
"Cell273",10939,20219,26798,1958,17706,1717,"Batch1"
"Cell274",8975,14424,17949,1509,14332,1277,"Batch1"
"Cell275",7628,9771,18927,1010,11252,1468,"Batch1"
"Cell276",8330,14972,23329,988,12829,1341,"Batch1"
"Cell277",8028,14328,26449,1284,12435,1425,"Batch1"
"Cell278",11273,19508,23875,1911,20181,1410,"Batch1"
"Cell279",14536,32195,31020,2435,24993,2253,"Batch1"
"Cell280",6766,15339,16853,1441,13133,1430,"Batch1"
"Cell281",8771,12161,18437,1420,15557,1060,"Batch1"
"Cell282",5961,11409,13681,1249,12543,1080,"Batch1"
"Cell283",7899,14518,24725,1208,15409,1061,"Batch1"
"Cell284",8619,15857,15507,1176,15449,1728,"Batch1"
"Cell285",8335,18983,20076,1305,17271,1449,"Batch1"
"Cell286",4680,8979,12307,786,9186,785,"Batch1"
"Cell287",6052,10368,14880,1047,9719,1100,"Batch1"
"Cell288",6413,10325,12148,1050,11774,1389,"Batch1"
"Cell289",11274,21620,24278,1921,17593,1687,"Batch1"
"Cell290",7685,11432,14177,1064,11221,800,"Batch1"
"Cell291",9500,14154,17077,1499,16591,1547,"Batch1"
"Cell292",10960,22549,26320,1826,16760,1429,"Batch1"
"Cell293",5015,12899,13752,1093,10267,955,"Batch1"
"Cell294",13786,22117,19153,2073,18676,1511,"Batch1"
"Cell295",7253,11996,19950,1032,13953,1181,"Batch1"
"Cell296",6903,12959,17166,1388,12514,1379,"Batch1"
"Cell297",6456,13025,16335,1131,10878,892,"Batch1"
"Cell298",9178,12545,24565,1213,12951,1209,"Batch1"
"Cell299",11699,19118,27978,1305,22661,1866,"Batch1"
"Cell300",9629,16076,20964,1175,11991,1297,"Batch1"
"Cell301",10305,16376,24825,1608,18284,1461,"Batch1"
"Cell302",4445,9992,12266,769,9505,987,"Batch1"
"Cell303",9256,12868,18770,1550,13780,1138,"Batch1"
"Cell304",9094,15806,18554,1564,15406,1560,"Batch1"
"Cell305",7484,12310,20559,1263,13666,1159,"Batch1"
"Cell306",8511,11328,13713,844,12145,1152,"Batch1"
"Cell307",10879,15084,24105,1733,18955,1885,"Batch1"
"Cell308",7182,10226,14461,1046,10349,802,"Batch1"
"Cell309",9784,18767,22323,1732,13548,1816,"Batch1"
"Cell310",11664,14370,19510,1644,16536,1843,"Batch1"
"Cell311",10847,19958,27321,1412,16085,1925,"Batch1"
"Cell312",8044,9602,17006,917,9262,1200,"Batch1"
"Cell313",6173,8265,11938,1204,10456,997,"Batch1"
"Cell314",9897,16674,18579,1562,18494,1242,"Batch1"
"Cell315",10067,15914,17700,1638,16008,1344,"Batch1"
"Cell316",8542,14727,18090,969,12155,1501,"Batch1"
"Cell317",6562,11071,16653,1085,9902,801,"Batch1"
"Cell318",8872,16249,19707,1455,12886,1424,"Batch1"
"Cell319",9909,14300,17899,1537,15037,1894,"Batch1"
"Cell320",7680,15967,15510,1071,13818,1365,"Batch1"
"Cell321",6781,10734,16292,796,9284,979,"Batch1"
"Cell322",8537,18214,23348,1750,19878,1777,"Batch1"
"Cell323",8312,12575,15065,1113,9679,1356,"Batch1"
"Cell324",8223,12442,18270,947,15254,1025,"Batch1"
"Cell325",10896,16458,21760,1740,17646,1520,"Batch1"
"Cell326",6734,12922,17908,1406,15653,1131,"Batch1"
"Cell327",7508,13992,11144,879,9212,859,"Batch1"
"Cell328",8896,15335,22991,1784,15209,1359,"Batch1"
"Cell329",8353,12844,17931,1092,14923,1369,"Batch1"
"Cell330",9013,15864,19787,1391,16174,1375,"Batch1"
"Cell331",9903,15625,23162,1590,16523,1105,"Batch1"
"Cell332",12201,19695,24431,1540,17747,2393,"Batch1"
"Cell333",8215,11569,17998,1007,11373,982,"Batch1"
"Cell334",6976,12027,12365,1215,10110,826,"Batch1"
"Cell335",7226,11887,14526,1332,9177,1007,"Batch1"
"Cell336",10541,14174,19764,1485,17895,1307,"Batch1"
"Cell337",6412,19248,18972,1462,13145,1376,"Batch1"
"Cell338",7155,11870,18303,1283,10908,1194,"Batch1"
"Cell339",6472,12077,17116,1190,9869,938,"Batch1"
"Cell340",8474,13231,17196,1285,10984,915,"Batch1"
"Cell341",9891,20612,18480,1274,12169,1086,"Batch1"
"Cell342",7889,14602,19903,1223,15291,1252,"Batch1"
"Cell343",8524,17637,21953,1432,14547,1226,"Batch1"
"Cell344",7988,16832,20121,1456,12210,1295,"Batch1"
"Cell345",8882,14615,20880,1184,13203,1301,"Batch1"
"Cell346",14329,32511,42391,2471,28156,1879,"Batch1"
"Cell347",6116,13737,17881,1039,13348,1109,"Batch1"
"Cell348",7178,11907,20213,1625,14687,1257,"Batch1"
"Cell349",12904,20283,31864,1641,19693,1838,"Batch1"
"Cell350",10418,20284,20494,1760,16501,1629,"Batch1"
"Cell351",9181,14469,19095,1472,19994,1831,"Batch1"
"Cell352",8085,10661,16784,1342,11288,1033,"Batch1"
"Cell353",13341,22451,29247,1741,20384,2008,"Batch1"
"Cell354",13878,16715,28803,1511,19846,1219,"Batch1"
"Cell355",12596,18239,28526,1482,16564,2134,"Batch1"
"Cell356",6663,11616,18944,1257,9956,1041,"Batch1"
"Cell357",9493,19535,19652,1679,14649,1638,"Batch1"
"Cell358",10233,14769,19009,1390,15989,1723,"Batch1"
"Cell359",8636,12581,20981,1575,13373,1349,"Batch1"
"Cell360",10250,14512,19139,1271,18492,1546,"Batch1"
"Cell361",7274,15674,17617,1440,11999,1267,"Batch1"
"Cell362",7904,10744,13396,978,11649,966,"Batch1"
"Cell363",8402,16404,17012,1255,15406,1455,"Batch1"
"Cell364",11111,15950,25912,1380,17205,1379,"Batch1"
"Cell365",8203,12532,20448,1307,13297,1318,"Batch1"
"Cell366",7532,15204,22800,1455,13894,1080,"Batch1"
"Cell367",8627,14492,20119,1715,13359,1205,"Batch1"
"Cell368",8246,17782,22976,1707,17056,1269,"Batch1"
"Cell369",7496,12965,18000,1139,13811,1303,"Batch1"
"Cell370",7906,17742,20609,1081,10943,1143,"Batch1"
"Cell371",7276,16049,21453,1564,14058,1240,"Batch1"
"Cell372",7504,12375,15038,1252,11338,1130,"Batch1"
"Cell373",9597,11583,21104,1615,17202,1332,"Batch1"
"Cell374",10572,15614,24157,1301,17145,1454,"Batch1"
"Cell375",7391,13556,19665,1575,13351,1079,"Batch1"
"Cell376",8484,13733,14346,1421,12049,1169,"Batch1"
"Cell377",9871,15850,18966,1703,19736,1340,"Batch1"
"Cell378",10482,15829,23329,1753,19042,1192,"Batch1"
"Cell379",10590,16011,26294,1638,14674,1685,"Batch1"
"Cell380",6594,11888,15842,1155,13232,1320,"Batch1"
"Cell381",9124,17551,20857,1596,13453,1751,"Batch1"
"Cell382",4988,8268,9985,878,7784,726,"Batch1"
"Cell383",8232,9634,16615,1242,14256,1305,"Batch1"
"Cell384",10334,16220,18064,1506,15131,1152,"Batch1"
"Cell385",11099,15826,20595,1473,12645,1372,"Batch1"
"Cell386",5562,11912,9852,932,10190,888,"Batch1"
"Cell387",7358,11292,15165,1006,13493,1068,"Batch1"
"Cell388",7945,11374,16131,1176,10321,1036,"Batch1"
"Cell389",5484,12276,17392,1230,12308,1054,"Batch1"
"Cell390",7782,18150,17772,1366,12480,1464,"Batch1"
"Cell391",6119,10503,16005,1134,9640,1618,"Batch1"
"Cell392",5422,10361,14461,1096,10959,918,"Batch1"
"Cell393",7747,14574,16144,1358,12436,1656,"Batch1"
"Cell394",11453,18957,31948,2520,22077,1903,"Batch1"
"Cell395",11097,22047,23304,2012,19333,1606,"Batch1"
"Cell396",8773,15578,20141,1672,14732,1820,"Batch1"
"Cell397",12957,21524,22498,2407,21098,2294,"Batch1"
"Cell398",7526,13689,22423,1001,15747,1149,"Batch1"
"Cell399",9075,11663,15032,1023,10469,1325,"Batch1"
"Cell400",5873,13014,13561,1157,10517,983,"Batch1"
"Cell401",12513,20157,35698,1993,23560,2038,"Batch1"
"Cell402",7570,12346,17314,946,12490,1156,"Batch1"
"Cell403",7675,9345,13697,975,10437,1266,"Batch1"
"Cell404",8637,18271,22093,1281,18427,1437,"Batch1"
"Cell405",8087,11469,16646,1195,12453,1410,"Batch1"
"Cell406",10336,18253,24306,1527,19029,1269,"Batch1"
"Cell407",10013,14661,15995,1664,16844,885,"Batch1"
"Cell408",6731,10600,17225,1080,12165,1232,"Batch1"
"Cell409",7881,11335,14575,993,11226,1271,"Batch1"
"Cell410",4530,7157,8429,1137,8558,948,"Batch1"
"Cell411",11553,15216,21633,1546,13937,1595,"Batch1"
"Cell412",10707,16663,19177,1523,16656,1714,"Batch1"
"Cell413",9642,19321,23568,1727,19166,1419,"Batch1"
"Cell414",8445,11718,20850,1588,11911,905,"Batch1"
"Cell415",6118,10487,15899,900,10746,1094,"Batch1"
"Cell416",7422,12280,15664,1031,12603,840,"Batch1"
"Cell417",9076,12761,17971,1683,15900,1213,"Batch1"
"Cell418",9583,16050,20645,1872,15107,1384,"Batch1"
"Cell419",10824,19625,21029,1527,17465,1774,"Batch1"
"Cell420",11615,18326,23106,1658,20029,1681,"Batch1"
"Cell421",12233,16083,21990,1861,15855,1616,"Batch1"
"Cell422",10522,16588,22022,1956,17989,1339,"Batch1"
"Cell423",8058,13042,20754,1521,16119,1650,"Batch1"
"Cell424",8138,14399,15055,1080,12583,989,"Batch1"
"Cell425",7884,16068,22560,1225,12601,1254,"Batch1"
"Cell426",10997,16859,22017,1639,13539,1837,"Batch1"
"Cell427",9557,13755,20559,1523,11480,1674,"Batch1"
"Cell428",5720,10254,11805,990,9836,1330,"Batch1"
"Cell429",9489,10067,15850,1314,10723,838,"Batch1"
"Cell430",7627,9602,16984,1379,11667,1019,"Batch1"
"Cell431",4300,12744,12255,848,10884,1059,"Batch1"
"Cell432",5944,9984,14573,1141,8455,1199,"Batch1"
"Cell433",8249,13187,16105,1118,13789,1107,"Batch1"
"Cell434",10852,16037,23964,2053,20604,2624,"Batch1"
"Cell435",10704,19028,28841,1502,19379,1848,"Batch1"
"Cell436",7684,12005,14616,1073,12588,850,"Batch1"
"Cell437",11002,20179,25602,1791,22222,1853,"Batch1"
"Cell438",9031,14282,27550,1657,16573,1996,"Batch1"
"Cell439",15067,20264,33773,2008,17844,2458,"Batch1"
"Cell440",7567,10626,14853,1144,10901,1202,"Batch1"
"Cell441",10175,17477,23484,1358,20555,1490,"Batch1"
"Cell442",9760,21626,24948,1811,20632,1505,"Batch1"
"Cell443",8857,14194,17758,1656,20245,1626,"Batch1"
"Cell444",8250,12577,16480,1216,12055,1547,"Batch1"
"Cell445",5883,7556,11253,889,9184,846,"Batch1"
"Cell446",6892,11778,22059,1311,13510,1287,"Batch1"
"Cell447",8429,11929,17258,1059,13567,1454,"Batch1"
"Cell448",9303,17709,22040,2100,23848,1702,"Batch1"
"Cell449",10579,10983,19009,2016,17335,1598,"Batch1"
"Cell450",5379,11390,14579,1277,12885,953,"Batch1"
"Cell451",10361,18022,24294,1552,21265,1963,"Batch1"
"Cell452",9344,16251,20311,1405,18616,1636,"Batch1"
