"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","duplicated"
"COL1A2",0,2.18225930498943,0.957,0.041,0,"Fibroblast","COL1A2",FALSE
"COL1A1",0,2.12568931049392,0.932,0.081,0,"Fibroblast","COL1A1",FALSE
"COL3A1",0,2.10122383963825,0.91,0.024,0,"Fibroblast","COL3A1",FALSE
"COL6A2",0,2.02523882132716,0.971,0.052,0,"Fibroblast","COL6A2",FALSE
"LUM",0,2.01151533316095,0.892,0.044,0,"Fibroblast","LUM",FALSE
"DCN",0,1.89231011494656,0.91,0.247,0,"Fibroblast","DCN",FALSE
"COL6A1",0,1.79298829346681,0.958,0.058,0,"Fibroblast","COL6A1",FALSE
"SPARC",0,1.75791719137304,0.963,0.172,0,"Fibroblast","SPARC",FALSE
"COL6A3",0,1.67345667870459,0.901,0.025,0,"Fibroblast","COL6A3",FALSE
"CPE",0,1.5434865018313,0.861,0.025,0,"Fibroblast","CPE",FALSE
"CTSK",0,1.48267179611845,0.881,0.081,0,"Fibroblast","CTSK",FALSE
"PCOLCE",0,1.47885116134645,0.885,0.03,0,"Fibroblast","PCOLCE",FALSE
"C1S",0,1.4691281052686,0.925,0.228,0,"Fibroblast","C1S",FALSE
"MMP2",0,1.46877906010621,0.833,0.019,0,"Fibroblast","MMP2",FALSE
"SELM",0,1.46115201454274,0.975,0.178,0,"Fibroblast","SELM",FALSE
"CALD1",0,1.45886720480654,0.984,0.388,0,"Fibroblast","CALD1",FALSE
"AEBP1",0,1.45367568610211,0.937,0.053,0,"Fibroblast","AEBP1",FALSE
"COL5A2",0,1.38789138821843,0.842,0.043,0,"Fibroblast","COL5A2",FALSE
"FN1",0,1.36285585341067,0.841,0.037,0,"Fibroblast","FN1",FALSE
"C1R",0,1.34475576274608,0.941,0.333,0,"Fibroblast","C1R",FALSE
"FSTL1",0,1.34417100623847,0.891,0.038,0,"Fibroblast","FSTL1",FALSE
"PRRX1",0,1.27642990800386,0.875,0.002,0,"Fibroblast","PRRX1",FALSE
"BGN",0,1.25039344752403,0.8,0.161,0,"Fibroblast","BGN",FALSE
"CFH",0,1.22871572282477,0.815,0.026,0,"Fibroblast","CFH",FALSE
"MYL9",0,1.20825061821741,0.802,0.053,0,"Fibroblast","MYL9",FALSE
"PRSS23",0,1.20488871608563,0.804,0.11,0,"Fibroblast","PRSS23",FALSE
"SERPING1",0,1.16849377072401,0.909,0.236,0,"Fibroblast","SERPING1",FALSE
"SERPINF1",0,1.12569151858943,0.913,0.295,0,"Fibroblast","SERPINF1",FALSE
"SERPINH1",0,1.0732873315517,0.865,0.237,0,"Fibroblast","SERPINH1",FALSE
"TIMP2",0,1.03857643332642,0.825,0.09,0,"Fibroblast","TIMP2",FALSE
"LGALS1",0,1.00150423726935,0.994,0.586,0,"Fibroblast","LGALS1",FALSE
"PMEL",0,2.09098708707763,0.996,0.076,0,"Melanocyte","PMEL",FALSE
"TYRP1",0,2.06719157818038,0.99,0.051,0,"Melanocyte","TYRP1",FALSE
"DCT",0,1.99926049893726,0.894,0.034,0,"Melanocyte","DCT",FALSE
"MLANA",0,1.91513692008289,0.966,0.037,0,"Melanocyte","MLANA",FALSE
"QPCT",0,1.56754061706299,0.994,0.162,0,"Melanocyte","QPCT",FALSE
"FRZB",0,1.50089119741504,0.902,0.018,0,"Melanocyte","FRZB",FALSE
"TYR",0,1.28354453812815,0.916,0.006,0,"Melanocyte","TYR",FALSE
"GPM6B",0,1.27733887872973,0.977,0.067,0,"Melanocyte","GPM6B",FALSE
"CAPN3",0,1.26750075993811,0.858,0.03,0,"Melanocyte","CAPN3",FALSE
"EDNRB",0,1.25286526939241,0.957,0.015,0,"Melanocyte","EDNRB",FALSE
"APOD",0,1.24544177696523,0.897,0.033,0,"Melanocyte","APOD",FALSE
"MITF",0,1.24380521035437,0.925,0.041,0,"Melanocyte","MITF",FALSE
"SNCA",0,1.23040518952616,0.98,0.112,0,"Melanocyte","SNCA",FALSE
"PLP1",0,1.2143540381885,0.913,0.004,0,"Melanocyte","PLP1",FALSE
"GMPR",0,1.20363437309141,0.932,0.02,0,"Melanocyte","GMPR",FALSE
"PMP22",0,1.19281135645218,0.969,0.109,0,"Melanocyte","PMP22",FALSE
"MCOLN3",0,1.14406308700282,0.915,0.013,0,"Melanocyte","MCOLN3",FALSE
"BACE2",0,1.08387143234276,0.935,0.135,0,"Melanocyte","BACE2",FALSE
"CRYAB",0,1.05175120148271,0.917,0.206,0,"Melanocyte","CRYAB",FALSE
"TRPM1",0,1.04926155817867,0.82,0.002,0,"Melanocyte","TRPM1",FALSE
"SLC24A5",0,1.02301190824832,0.851,0.003,0,"Melanocyte","SLC24A5",FALSE
"KIT",0,1.01751738143081,0.884,0.008,0,"Melanocyte","KIT",FALSE
"MFSD12",0,1.01461445487715,0.894,0.222,0,"Melanocyte","MFSD12",FALSE
"TFAP2B",0,1.00013049693675,0.822,0.034,0,"Melanocyte","TFAP2B",FALSE
"HLA-DPB1",0,1.97575138911471,0.991,0.458,0,"Myeloid","HLA-DPB1",FALSE
"HLA-DQA1",0,1.96438721186703,0.967,0.162,0,"Myeloid","HLA-DQA1",FALSE
"HLA-DPA1",0,1.95051055984022,0.984,0.387,0,"Myeloid","HLA-DPA1",FALSE
"TYROBP",0,1.90567306368958,0.981,0.17,0,"Myeloid","TYROBP",FALSE
"HLA-DRB1",0,1.86974395104401,0.997,0.449,0,"Myeloid","HLA-DRB1",FALSE
"HLA-DQB1",0,1.84050151626396,0.979,0.378,0,"Myeloid","HLA-DQB1",FALSE
"LYZ",0,1.78903129866136,0.83,0.21,0,"Myeloid","LYZ",FALSE
"HLA-DRB5",0,1.78825040310042,0.85,0.208,0,"Myeloid","HLA-DRB5",FALSE
"HLA-DRA",0,1.77071402866397,0.999,0.703,0,"Myeloid","HLA-DRA",FALSE
"AIF1",0,1.68431587091528,0.911,0.108,0,"Myeloid","AIF1",FALSE
"CD74",0,1.62840147106963,1,0.766,0,"Myeloid","CD74",FALSE
"FCER1G",0,1.6180630403861,0.889,0.15,0,"Myeloid","FCER1G",FALSE
"LST1",0,1.60244975718077,0.932,0.102,0,"Myeloid","LST1",FALSE
"HLA-DMA",0,1.54789944394178,0.954,0.212,0,"Myeloid","HLA-DMA",FALSE
"VIM",0,1.54478081421595,0.994,0.338,0,"Myeloid","VIM",FALSE
"RGS1",0,1.50044219473075,0.893,0.193,0,"Myeloid","RGS1",FALSE
"SRGN",0,1.49625980780813,0.917,0.21,0,"Myeloid","SRGN",FALSE
"MNDA",0,1.48378484256765,0.862,0.04,0,"Myeloid","MNDA",FALSE
"GPR183",0,1.47567875759298,0.87,0.113,0,"Myeloid","GPR183",FALSE
"SPI1",0,1.46153766081174,0.918,0.053,0,"Myeloid","SPI1",FALSE
"HLA-DMB",0,1.41123914132804,0.882,0.102,0,"Myeloid","HLA-DMB",FALSE
"CTSS",0,1.40050757392776,0.933,0.16,0,"Myeloid","CTSS",FALSE
"LCP1",0,1.38197922334929,0.925,0.101,0,"Myeloid","LCP1",FALSE
"RGS2",0,1.35260088221203,0.871,0.246,0,"Myeloid","RGS2",FALSE
"COTL1",0,1.3200152474807,0.912,0.256,0,"Myeloid","COTL1",FALSE
"CTSH",0,1.27651959096687,0.876,0.119,0,"Myeloid","CTSH",FALSE
"LAPTM5",0,1.26766645909572,0.904,0.114,0,"Myeloid","LAPTM5",FALSE
"S100A4",0,1.23500502785623,0.914,0.529,0,"Myeloid","S100A4",FALSE
"ITGB2",0,1.17400597503326,0.826,0.07,0,"Myeloid","ITGB2",FALSE
"PTPRC",0,1.16756288876962,0.896,0.087,0,"Myeloid","PTPRC",FALSE
"CORO1A",0,1.13742347936157,0.841,0.12,0,"Myeloid","CORO1A",FALSE
"CST3",0,1.10167434078853,0.994,0.868,0,"Myeloid","CST3",FALSE
"RGS10",0,1.0935670848633,0.879,0.274,0,"Myeloid","RGS10",FALSE
"GSN",0,1.06191479430206,0.904,0.606,0,"Myeloid","GSN",FALSE
"LSP1",0,1.00081790297797,0.893,0.401,0,"Myeloid","LSP1",FALSE
"IL32",0,1.97200856003554,0.926,0.143,0,"NK_TCells","IL32",FALSE
"CD3D",0,1.87792242836338,0.859,0.023,0,"NK_TCells","CD3D",FALSE
"CD2",0,1.7104385682556,0.858,0.042,0,"NK_TCells","CD2",FALSE
"CD52",0,1.47951329578325,0.905,0.243,0,"NK_TCells","CD52",FALSE
